ID	logFC	P.Value	posit/negati	vim/mdk	Accession			
S100A9	-0.835	0.003	0	vim	P06702			
NIF3L1	-0.833	0.003	0	vim	Q9GZT8			
RPS27A	-0.812	0.004	0	vim	P62979			
S100A8	-0.803	0.005	0	vim	P05109			
TUBA1B	-0.795	0.006	0	mdk	P68363			
TUBA1A	-0.794	0.006	0	mdk	Q71U36			
LDHB	-0.787	0.007	0	mdk	P07195			
CST5	-0.782	0.008	0	mdk	P28325			
INHA	-0.777	0.008	0	vim	P05111			
PRDX1	-0.777	0.008	0	vim	Q06830			
PRDX2	-0.777	0.008	0	vim	P32119			
LDHA	-0.77	0.009	0	mdk	P00338			
LPL	-0.769	0.009	0	vim	P06858			
SERPINB3	-0.76	0.011	0	mdk	P29508			
HN1	-0.759	0.011	0	mdk	Q9UK76			
CLIC1	-0.757	0.011	0	vim	O00299			
CSTA	-0.757	0.011	0	vim	P01040			
PROZ	-0.756	0.011	0	vim	P22891			
SMR3B	-0.749	0.013	0	vim	P02814			
MANBA	-0.748	0.013	0	vim	O00462			
FABP5	-0.743	0.014	0	mdk	Q01469			
FN1	-0.729	0.017	0	vim	P02751			
CAPN1	-0.725	0.018	0	mdk	P07384			
TMSB4X	-0.722	0.018	0	mdk	P62328			
SPINK5	-0.708	0.022	0	vim	Q9NQ38			
CDSN	-0.698	0.025	0	vim	Q15517			
PSMA3	-0.697	0.025	0	vim	P25788			
COL4A2	-0.695	0.026	0	vim	P08572			DEFA1B
TPT1	-0.695	0.026	0	mdk	P13693			
COL4A1	-0.693	0.026	0	vim	P02462			
SERPINA5	-0.693	0.026	0	vim	P05154			
SERPINB12	-0.691	0.027	0	mdk	Q96P63			
F10	-0.69	0.027	0	vim	P00742			
DCD	-0.689	0.027	0	vim	P81605			
TBCA	-0.687	0.028	0	mdk	O75347			
C4A	-0.685	0.029	0	vim	P0C0L4			
SPIN4	-0.683	0.029	0	vim	Q56A73			
PIP	-0.679	0.031	0	vim	P12273			
SERPINA3	-0.677	0.031	0	vim	P01011			
C4B	-0.675	0.032	0	vim	P0C0L5			
LCAT	-0.671	0.034	0	vim	P04180			
TUBB	-0.667	0.035	0	mdk	P07437			
CAT	-0.666	0.036	0	vim	P04040			
SERPINB6	-0.664	0.036	0	vim	P35237			
LCN1	-0.662	0.037	0	vim	P31025			
FRMPD1	0.65	0.042	1	mdk	Q5SYB0			
HNRNPU	0.65	0.042	1	vim	Q00839			
COL18A1	0.652	0.041	1	mdk	P39060			
B4GALT1	0.66	0.038	1	vim	P15291			
CD55	0.665	0.036	1	mdk	P08174			
SPARCL1	0.665	0.036	1	mdk	Q14515			
CDH11	0.675	0.032	1	vim	P55287			
ARF4	0.676	0.032	1	vim	P18085			
DHX15	0.678	0.031	1	vim	O43143			
HTRA1	0.679	0.031	1	vim	Q92743			
PDIA3	0.684	0.029	1	mdk	P30101			
IGFBP5	0.685	0.029	1	mdk	P24593			
HNRNPK	0.686	0.028	1	vim	P61978			
mrc2	0.69	0.027	1	mdk	Q9UBG0			
ARF3	0.692	0.027	1	vim	P61204			
PLOD1	0.692	0.027	1	vim	Q02809			
ACTN1	0.695	0.026	1	vim	P12814			
PRDX6	0.695	0.026	1	vim	P30041			
RAN	0.696	0.025	1	vim	P62826			
COLEC11	0.702	0.024	1	mdk	Q9BWP8			
NPM1	0.709	0.022	1	vim	P06748			
SCUBE1	0.712	0.021	1	mdk	Q8IWY4			
SFRP1	0.715	0.02	1	mdk	Q8N474			
TIMP1	0.719	0.019	1	mdk	P01033			
ISLR	0.722	0.018	1	vim	O14498			
MDK	0.727	0.017	1	vim	P21741			
VIM	0.727	0.017	1	mdk	P08670			
MYL12A	0.733	0.016	1	vim	O14950			
MMP2	0.735	0.015	1	mdk	P08253			
SFRP4	0.742	0.014	1	vim	Q6FHJ7			
CYCS	0.744	0.014	1	vim	P99999			
NBL1	0.746	0.013	1	mdk	P41271			
GOLM1	0.753	0.012	1	mdk	Q8NBJ4			
MYH11	0.756	0.011	1	vim	P35749			
SUB1	0.756	0.011	1	vim	P53999			
APEX1	0.764	0.01	1	vim	P27695			
TIMP2	0.769	0.009	1	mdk	P16035			
